idx,Agro-forestry areas,Broad-leaved forest,Complex cultivation patterns,Coniferous forest,Discontinuous urban fabric,Land principally occupied by agriculture with significant areas of natural vegetation,Mixed forest,Non-irrigated arable land,Pastures,Peatbogs,Sea and ocean,Transitional woodland/shrub,Water bodies
598185,0,0,0,1,0,0,0,0,0,1,0,1,1
337954,0,1,1,0,0,1,0,1,0,0,0,0,0
369918,0,0,1,0,1,0,0,1,1,0,0,0,0
110629,0,0,0,1,0,0,1,0,0,0,0,1,0
640683,1,1,0,0,0,0,1,0,0,0,0,1,0
467636,0,1,0,0,1,0,0,1,0,0,0,0,0
450694,0,0,1,0,0,1,0,1,1,0,0,0,0
323030,0,1,0,0,0,1,0,0,0,0,0,1,0
506162,0,1,1,0,0,1,0,1,1,0,0,0,0
116521,0,0,0,0,0,1,1,1,0,0,0,0,1
670443,1,0,0,0,0,0,0,1,0,0,0,1,0
114563,0,0,0,1,0,0,1,0,0,0,0,1,0
474744,0,0,0,0,0,0,0,0,0,0,1,0,0
511764,0,1,0,0,0,1,1,0,0,0,0,0,0
455358,0,0,0,0,0,0,0,0,0,0,1,0,0
570630,0,0,0,1,0,1,0,0,0,0,0,1,1
95887,1,0,1,0,0,0,0,1,0,0,0,1,0
145662,0,1,1,0,0,0,0,0,0,0,0,1,0
289625,1,1,0,0,0,0,0,0,1,0,0,1,0
644387,0,0,0,1,0,0,0,0,0,1,0,1,0
651193,1,1,0,0,0,0,0,1,0,0,0,0,0
468636,0,0,1,0,1,0,0,1,1,0,0,0,0
653107,1,0,0,0,0,0,0,1,0,0,0,0,0
179610,0,0,0,1,0,1,0,1,0,0,0,0,0
70107,0,0,0,1,0,1,1,0,0,0,0,0,1
409654,0,0,0,1,0,1,1,0,0,0,0,0,0
410720,0,1,1,0,1,0,0,1,0,0,0,0,0
456857,0,0,0,0,0,0,1,0,0,0,0,1,0
347148,0,0,0,1,0,0,1,0,0,1,0,0,0
458523,0,0,0,0,0,0,0,0,0,0,1,0,0
75544,0,0,0,1,0,0,1,0,0,0,0,1,0
476109,0,0,0,0,0,0,0,1,0,0,0,0,0
626111,0,0,0,1,0,0,0,0,0,1,0,0,0
154218,0,1,0,1,0,1,0,0,0,0,0,1,0
336673,0,0,0,0,0,1,0,1,1,0,0,0,0
151846,0,1,0,0,0,0,0,0,0,0,0,1,0
38637,0,0,0,0,0,0,0,0,0,0,1,0,0
523955,0,1,0,0,0,0,0,0,0,0,0,1,0
602259,0,0,0,1,0,0,0,0,0,1,0,1,1
506419,0,1,1,0,0,1,0,0,0,0,0,0,0
131629,0,0,0,0,0,0,0,0,0,0,1,0,0
633875,0,0,0,1,0,0,0,0,0,1,0,1,0
626139,0,0,0,1,0,0,1,0,0,1,0,1,0
188067,0,1,0,1,0,0,0,1,0,0,0,0,0
135211,0,1,0,0,0,1,0,0,0,0,0,1,0
387405,0,0,0,0,0,0,0,0,0,0,1,0,0
474996,0,0,0,0,1,1,0,0,0,0,0,0,0
126281,0,0,0,0,1,1,0,0,0,0,0,1,0
379416,0,1,0,0,0,1,0,1,1,0,0,0,0
221959,0,0,0,0,0,0,0,0,0,0,1,0,0
171238,0,0,0,0,1,0,0,0,1,0,0,0,0
262970,0,1,1,0,0,1,0,0,0,0,0,1,0
417182,0,1,1,0,1,1,0,0,0,0,0,0,0
136234,0,0,0,0,1,0,0,1,0,0,0,0,1
321747,0,0,1,0,0,1,0,0,0,0,0,0,0
662347,0,1,0,0,0,0,0,1,1,1,0,1,0
354268,0,1,1,1,0,1,1,0,1,0,0,0,0
384892,0,0,0,1,0,0,0,0,0,0,1,0,0
575700,0,0,0,1,0,0,1,0,0,0,0,0,1
535617,0,0,0,1,0,0,1,0,0,0,0,1,1
516143,0,1,1,0,0,1,0,0,1,0,0,0,0
447220,0,0,0,0,0,0,0,0,1,0,0,0,0
453930,0,0,0,0,0,0,0,0,0,0,1,0,0
368359,0,1,0,0,0,1,1,1,1,0,0,0,0
36493,0,0,0,0,0,0,0,1,1,0,0,0,0
78412,0,0,0,1,0,0,0,0,0,0,0,0,1
236135,0,0,0,0,0,0,1,0,0,0,0,0,0
648519,0,0,0,1,0,0,1,1,0,1,0,0,0
104878,0,1,0,0,1,0,0,1,0,0,0,0,0
646613,1,0,0,0,1,0,0,1,1,0,0,0,0
452569,0,0,0,0,0,0,0,0,0,0,1,0,0
384700,0,0,0,0,0,1,1,0,0,0,1,0,0
189586,0,0,0,1,0,0,1,1,0,0,0,1,0
295732,0,1,1,0,1,1,0,0,0,0,0,0,0
672729,1,1,0,0,0,1,0,0,0,0,0,0,0
139844,0,0,0,0,0,0,0,1,0,0,0,1,0
148080,0,1,1,0,1,1,1,0,0,0,0,0,0
80436,0,0,1,0,1,1,0,1,0,0,0,0,1
66447,0,1,0,0,1,0,1,1,0,0,0,0,0
660677,1,0,0,0,0,0,0,0,1,0,0,1,0
626463,0,0,0,0,0,1,0,1,1,1,0,0,0
632023,1,0,0,0,0,0,0,0,0,0,0,0,0
168580,0,1,0,0,0,1,0,0,1,0,0,0,0
649231,0,0,0,0,0,0,0,0,0,1,0,0,0
308447,0,0,0,0,0,1,0,1,0,0,0,0,0
632239,0,0,0,1,0,0,0,0,0,1,0,0,0
168082,0,0,0,0,0,0,0,1,1,0,0,0,0
431944,0,0,0,1,0,0,1,0,0,0,0,1,1
146271,0,1,0,0,0,1,0,0,0,0,0,1,0
344033,0,0,0,1,0,0,1,0,0,0,0,0,1
456288,0,0,0,0,0,0,0,0,0,0,1,0,0
123485,0,0,1,0,1,0,0,0,0,0,0,1,0
551540,0,1,0,0,0,0,1,0,0,0,0,0,0
144672,0,1,0,0,0,0,0,0,0,0,0,1,0
78309,0,0,0,1,0,0,0,0,0,1,0,0,0
444101,0,0,0,1,0,0,1,0,0,0,0,1,1
105657,0,0,0,1,0,0,1,0,0,0,0,1,1
515567,0,1,0,0,0,0,0,0,0,0,0,1,0
75032,0,0,0,1,0,0,1,0,0,1,0,0,0
278734,0,0,0,0,0,0,0,0,0,0,1,0,0
75147,0,0,0,1,0,0,0,0,0,1,0,0,0
532044,0,1,0,0,0,0,1,0,0,1,0,0,0
580914,0,0,0,1,0,0,1,0,0,0,0,0,1
369002,0,0,1,0,0,1,1,1,1,0,0,0,0
306432,0,0,0,0,1,0,0,1,0,0,0,0,0
150901,0,1,0,0,1,0,1,0,0,0,0,0,0
230091,0,0,0,1,0,0,0,0,0,1,0,1,1
507668,0,1,0,0,0,0,0,0,0,0,0,1,0
530975,0,0,0,0,0,0,0,0,0,0,1,0,0
384096,0,0,0,0,0,0,0,0,0,0,1,0,0
427763,0,0,0,1,0,0,1,0,0,0,0,1,1
13002,0,0,0,0,0,0,0,1,1,0,0,0,0
358272,0,1,0,1,1,0,1,1,0,0,0,0,0
12189,0,0,0,0,0,0,1,0,1,0,0,0,0
601761,0,0,0,1,0,0,0,0,0,1,0,1,1
373465,0,0,0,0,0,0,1,0,1,0,0,0,0
456302,0,0,0,0,0,0,1,0,0,0,0,1,0
99801,1,0,0,0,0,0,0,1,0,0,0,0,0
230245,0,0,0,1,0,0,1,0,0,0,0,1,0
461376,1,1,0,0,0,0,1,0,0,0,0,0,0
534881,0,0,0,1,0,0,1,1,0,0,0,0,0
15424,0,0,0,0,0,0,0,0,0,0,1,0,0
610513,1,0,1,0,0,0,0,1,1,0,0,0,0
314658,0,0,0,0,0,0,0,0,0,0,1,0,0
263527,0,1,0,0,0,0,1,0,0,0,0,1,0
644851,0,0,0,1,0,0,1,0,0,1,0,1,0
276492,0,0,0,0,0,0,0,0,0,0,1,0,0
194279,0,0,0,0,0,1,1,0,0,0,0,0,1
394227,0,0,0,0,0,0,0,0,1,0,0,0,0
7901,0,0,0,1,0,0,1,0,0,0,1,0,0
320375,0,0,0,1,0,0,1,1,0,0,0,0,0
408111,0,0,1,1,0,0,1,0,1,0,0,0,0
629337,1,0,0,0,0,0,0,1,0,0,0,1,0
266671,0,0,0,1,0,0,1,1,1,0,0,0,0
64826,0,0,0,1,0,0,0,1,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,1,0,0,1,0
32603,0,1,0,0,0,0,1,1,0,0,0,1,0
218488,0,0,0,1,1,0,1,0,1,0,0,1,0
63149,0,0,1,0,1,0,1,1,0,0,0,0,0
65164,0,1,0,0,0,0,1,1,0,0,0,0,0
604479,0,0,0,1,0,0,1,0,0,1,0,1,0
646453,1,0,0,0,0,0,0,0,1,0,0,0,0
30251,1,1,1,0,0,0,0,0,0,0,0,1,0
371151,0,0,1,0,0,0,0,1,0,0,0,0,0
29683,0,1,0,0,0,0,1,0,0,0,0,1,0
596147,1,0,0,0,0,0,0,1,1,0,0,0,0
221552,0,1,1,1,1,0,0,1,0,0,0,0,0
291186,1,0,0,0,0,0,0,1,1,0,0,0,1
540492,0,0,0,0,0,0,0,0,0,0,0,0,0
186179,0,0,1,0,0,1,1,1,1,0,0,0,0
230259,0,0,0,1,0,0,0,0,0,0,0,0,1
495736,0,0,1,1,1,0,0,1,0,0,0,0,0
666401,1,0,0,0,0,0,1,1,0,0,0,0,0
545094,0,0,0,0,0,0,0,0,0,0,0,0,0
406975,0,0,1,0,1,0,0,1,0,0,0,0,0
35237,0,0,0,0,0,0,0,0,0,1,0,1,0
288464,1,1,0,0,0,0,0,1,0,0,0,0,0
164198,0,0,0,1,0,0,1,0,0,1,0,1,0
480079,0,0,0,1,0,0,1,0,0,0,0,1,0
340625,0,0,0,1,0,0,0,0,0,0,1,0,0
74396,0,0,0,1,0,0,0,0,0,0,0,0,1
116910,0,0,0,1,0,0,1,0,0,0,0,1,0
381869,0,0,1,0,1,0,0,0,1,0,0,0,0
366296,0,0,1,0,0,0,0,1,0,0,0,1,0
212596,0,0,1,0,0,0,0,1,0,0,0,0,0
356342,0,0,0,1,0,0,1,0,0,0,0,0,1
621583,0,0,0,1,0,0,0,0,0,1,0,1,0
160970,0,0,0,0,0,0,1,0,0,0,0,0,0
563914,0,0,0,0,0,0,0,0,0,0,1,0,0
351111,0,1,1,0,0,1,1,0,1,0,0,0,0
292126,0,0,0,0,0,1,0,1,0,0,0,1,0
510728,0,0,0,0,1,0,0,1,0,0,0,0,0
557074,0,0,0,0,0,0,0,0,0,0,1,0,0
460193,0,1,0,0,0,0,0,0,0,0,0,1,0
84362,0,1,0,0,0,0,0,0,1,0,0,0,0
461187,1,0,0,0,0,0,0,0,1,0,0,0,0
494382,0,1,1,0,0,0,1,1,0,0,0,0,0
367065,0,1,0,0,1,0,0,1,0,0,0,0,0
184536,0,0,0,0,0,1,1,1,1,0,0,0,0
523932,0,1,0,0,0,0,0,0,0,0,0,1,0
158997,0,0,0,1,0,0,1,0,0,0,0,0,1
605051,0,0,0,1,0,0,0,0,0,1,0,1,0
370456,0,0,0,1,0,0,1,0,0,0,0,1,0
495754,0,0,0,1,0,1,0,1,0,0,0,0,0
465344,1,0,0,0,0,0,0,1,0,0,0,1,1
342427,0,0,0,1,0,1,1,1,0,0,0,0,0
596497,1,1,1,0,0,0,0,0,0,0,0,1,0
13807,0,0,0,0,0,0,0,1,1,0,0,0,0
34405,0,0,0,0,0,0,0,1,1,1,0,0,0
77835,0,0,0,1,0,0,0,0,0,0,0,1,1
343674,0,0,0,1,0,0,0,0,0,0,0,0,1
175294,0,0,0,1,0,0,0,0,0,0,1,0,0
463224,1,0,0,0,0,0,0,0,0,0,0,0,0
2723,0,0,0,1,0,0,0,0,0,0,1,1,0
216628,0,1,0,1,0,0,0,1,0,0,0,1,0
288329,0,0,1,0,0,0,0,0,1,0,0,0,0
638037,1,0,0,0,0,0,0,1,0,0,0,1,0
523998,0,1,0,0,0,0,0,0,0,0,0,1,0
21211,0,0,0,0,0,0,1,0,0,0,0,0,1
1125,0,0,0,0,0,0,0,0,0,0,1,0,0
675903,0,0,0,1,0,0,1,0,0,1,0,1,0
466339,1,1,0,0,0,0,0,0,0,0,0,0,0
189035,0,0,0,0,0,0,1,1,1,0,0,0,0
580126,0,1,0,1,0,0,1,1,0,0,0,1,0
658027,1,1,0,0,0,0,1,0,0,0,0,0,0
75760,0,0,0,0,0,1,1,1,0,0,0,0,1
247230,0,0,0,0,0,0,0,0,0,0,1,0,0
141040,0,1,0,0,0,1,0,0,0,0,0,0,0
246936,0,0,0,0,0,0,0,0,0,0,1,0,0
374931,0,0,0,0,0,0,0,1,0,0,0,0,0
45826,0,0,0,0,0,0,0,1,0,0,0,0,0
460704,1,0,0,1,0,0,0,1,0,0,0,1,0
209064,0,0,1,1,0,0,1,1,0,0,0,0,0
634955,0,0,0,1,0,0,0,0,0,1,0,1,0
578232,0,0,0,1,0,0,1,0,0,0,0,0,0
574801,0,0,0,1,0,0,0,0,0,1,0,0,0
349320,0,1,1,0,0,1,1,1,1,0,0,1,0
105692,0,1,0,1,0,0,1,0,0,0,0,1,0
565901,0,0,0,1,0,0,1,0,0,0,0,0,1
323161,0,0,1,0,0,1,1,0,0,0,0,1,0
353226,0,0,0,1,0,0,1,0,0,0,0,0,1
262953,0,1,0,0,0,0,0,0,0,0,0,1,0
16209,0,0,0,1,0,0,0,0,1,0,0,0,0
228423,0,0,0,1,0,0,1,0,0,0,0,1,0
42853,0,0,0,0,0,1,0,1,0,0,0,0,0
270224,0,0,0,0,0,1,0,1,1,0,0,0,0
347715,0,0,0,1,0,0,0,0,0,1,0,1,0
490064,0,1,1,0,1,1,1,1,0,0,0,0,0
62448,0,0,1,0,0,0,0,1,0,0,0,0,0
190519,0,0,1,0,0,0,0,1,1,0,0,0,0
274689,0,0,0,1,0,0,0,0,0,0,1,0,0
35156,0,0,0,0,0,1,1,0,0,1,0,0,0
672435,1,0,0,0,0,0,0,0,0,0,0,0,0
279466,0,0,0,0,0,0,0,0,0,0,1,0,0
408274,0,0,0,0,0,0,0,1,1,0,0,0,0
191820,0,0,0,1,0,0,1,0,1,0,0,1,0
384696,0,0,0,0,0,0,0,0,0,0,1,0,0
89655,1,0,0,0,0,0,0,0,1,0,0,0,0
249385,0,0,0,0,0,0,0,0,0,0,1,0,0
550578,0,1,1,0,0,0,1,0,0,0,0,0,0
658299,1,0,0,0,0,0,0,1,1,0,0,1,0
664111,0,0,0,1,0,0,1,0,0,1,0,1,0
6283,0,0,1,1,0,0,0,0,1,0,0,0,0
181300,0,0,0,0,0,1,1,1,0,0,0,0,0
614483,0,0,0,1,0,0,0,0,0,1,0,1,0
274045,0,0,0,0,0,0,0,0,0,0,1,0,0
106727,0,0,0,1,0,0,1,0,0,0,0,1,1
670331,0,0,1,0,0,0,0,0,0,1,0,0,0
452724,0,0,0,0,0,0,0,0,0,0,1,0,0
269595,0,0,1,0,0,0,0,1,1,0,0,0,0
474104,0,0,0,0,0,0,0,1,0,0,0,0,0
379543,0,1,0,1,0,1,0,0,0,0,0,0,0
196774,0,0,0,1,0,0,1,0,0,0,1,0,0
475327,1,1,0,0,0,0,0,0,0,0,0,1,0
463083,1,1,0,0,0,0,0,1,1,0,0,1,0
544711,0,0,0,0,0,0,0,0,0,0,0,0,0
469014,0,0,0,0,0,0,0,0,0,0,1,0,0
547420,0,0,0,0,0,0,0,0,0,0,0,0,0
3707,0,0,0,0,0,0,0,0,0,0,1,0,0
532519,0,0,0,1,0,0,1,0,0,0,0,0,0
75906,0,0,0,1,0,0,0,0,0,0,0,0,0
469917,0,1,1,0,0,0,0,1,0,0,0,1,0
348896,0,0,0,1,0,1,0,1,1,0,0,1,0
466444,0,0,1,0,0,1,0,0,0,0,0,1,0
138261,0,0,0,0,0,1,0,1,0,0,0,1,0
404319,0,0,0,0,0,0,0,1,0,0,0,0,0
347749,0,0,0,1,0,0,0,0,0,0,0,1,0
207945,0,0,0,0,0,0,0,1,0,0,0,0,0
631541,1,0,0,0,0,0,0,1,0,0,0,0,0
81486,0,0,0,0,0,0,0,1,0,0,0,0,1
584625,0,0,0,1,0,0,0,0,0,0,0,0,1
308124,0,0,0,0,0,0,0,1,1,0,0,0,0
485343,0,0,0,1,0,0,0,0,0,0,0,0,0
432816,0,0,0,1,0,0,1,0,0,0,0,1,0
532057,0,0,0,1,0,1,1,0,0,0,0,1,0
271473,0,0,0,1,0,0,1,0,0,0,0,1,0
403441,0,0,0,0,0,0,0,1,0,0,0,0,1
378339,0,1,0,1,0,1,1,0,1,0,0,0,0
425478,0,0,0,1,0,1,1,1,0,0,0,0,0
623391,1,0,0,0,0,0,0,1,0,0,0,1,0
391907,0,0,0,0,0,0,0,0,0,0,1,0,0
286465,0,0,0,1,0,0,1,0,0,1,0,1,0
298163,0,0,0,0,1,1,0,1,0,0,0,0,0
276737,0,0,0,0,0,0,0,0,0,0,1,0,0
553600,0,0,0,0,0,1,0,0,0,0,0,1,0
676611,0,0,0,1,0,0,0,0,0,1,0,1,0
505260,0,0,0,0,0,0,0,1,0,0,0,0,0
578003,0,0,0,0,0,0,0,0,0,0,1,0,0
292889,0,0,0,1,0,1,0,0,0,0,0,0,0
613767,1,1,0,0,0,0,0,1,0,0,0,1,0
146266,0,1,0,1,0,1,0,0,0,0,0,1,0
235541,0,0,0,0,0,0,1,0,0,1,0,0,0
603465,1,1,0,0,0,0,0,0,1,0,0,0,0
592157,1,0,0,0,0,0,0,1,0,0,0,1,0
503757,0,0,0,0,0,0,0,0,0,0,1,0,0
127642,0,0,0,0,0,0,1,0,0,0,0,1,0
465367,1,0,0,0,0,0,0,1,1,0,0,0,0
75273,0,0,0,1,0,0,1,0,0,0,0,0,0
527016,0,0,0,0,0,0,1,0,0,0,0,1,0
260052,0,0,0,1,0,0,0,0,0,0,0,0,0
628365,1,1,0,0,0,0,0,1,0,0,0,1,0
265445,0,0,1,0,0,0,0,1,0,0,0,0,0
322429,0,1,1,0,0,1,1,0,0,0,0,1,0
229278,0,0,0,1,0,0,0,0,0,0,0,1,1
660239,1,1,0,0,0,0,0,1,0,0,0,0,0
97965,0,0,0,0,0,0,0,0,0,0,1,1,0
289864,0,1,0,0,0,0,0,0,0,0,0,1,0
58890,0,0,0,0,0,0,1,0,0,0,0,1,0
77362,0,0,0,1,0,0,0,0,0,1,0,1,0
116976,0,0,0,1,0,0,1,0,0,0,0,0,0
417030,0,0,1,0,0,1,0,0,0,0,0,0,0
282419,0,0,0,0,0,0,0,0,0,0,1,0,0
437408,0,0,0,1,0,0,1,0,0,0,0,1,0
427372,0,0,0,1,0,1,1,0,0,0,0,0,1
514030,0,0,1,0,0,1,0,1,0,0,0,0,0
313087,0,0,0,0,0,0,0,0,0,0,1,0,0
364302,0,1,0,0,0,0,1,1,0,0,0,0,0
633151,0,0,0,0,0,0,0,0,0,1,0,0,0
429711,0,0,0,0,0,0,1,1,0,0,0,0,0
66492,0,0,0,0,1,0,1,1,0,0,0,0,1
454985,0,0,0,0,0,0,0,0,0,0,1,0,0
422657,0,1,1,0,0,1,0,0,0,0,0,1,0
511423,0,0,1,0,1,1,0,1,0,0,0,0,0
140475,0,1,0,0,0,1,0,0,0,0,0,0,0
621297,0,0,0,1,0,0,1,1,0,1,0,0,0
340166,0,0,0,0,0,0,0,0,0,0,1,0,0
409127,0,0,1,1,0,1,0,0,1,0,0,0,0
202661,0,0,0,0,0,0,0,0,0,0,1,0,0
593951,1,0,0,0,0,0,0,1,0,0,0,0,0
663069,0,0,0,1,0,0,0,0,0,1,0,1,0
342791,0,0,0,1,0,1,1,0,0,0,0,0,1
68498,0,1,1,0,0,1,0,0,0,0,0,0,0
270506,0,1,1,0,0,0,0,1,0,0,0,0,0
208257,0,0,1,1,0,1,1,1,1,0,0,0,0
570457,0,0,0,1,0,0,1,0,0,0,0,0,0
533351,0,1,0,1,0,0,1,1,0,0,0,0,0
13140,0,0,0,0,0,0,0,1,1,0,0,0,0
178408,0,0,0,0,0,1,1,1,0,0,0,1,0
625645,0,0,0,1,0,0,1,0,0,1,0,1,0
673101,0,0,0,1,0,0,1,0,0,1,0,1,0
666563,0,0,0,1,0,0,1,0,0,1,0,1,0
628753,0,0,0,1,0,1,1,1,0,1,0,1,0
209965,0,0,1,1,0,1,0,1,0,0,0,0,0
3637,0,0,0,1,0,1,1,0,1,0,0,0,0
319497,0,0,0,1,0,0,1,0,0,0,0,1,0
295653,0,0,0,1,0,0,1,0,1,0,0,0,0
621487,1,0,0,0,0,0,0,0,0,0,0,0,0
152628,0,1,1,0,0,0,0,0,0,0,0,0,0
204437,0,0,0,0,0,0,0,1,0,0,0,0,0
597215,0,0,0,1,0,1,1,0,0,1,0,0,0
426188,0,0,0,1,0,0,1,0,0,0,0,1,1
164561,0,0,0,1,0,0,1,0,0,0,0,0,1
359225,0,1,1,0,0,1,0,0,1,0,0,0,0
448856,0,0,0,0,0,0,0,1,1,0,0,0,0
451726,0,0,0,0,0,0,0,1,1,0,0,0,0
634843,1,1,0,0,0,0,0,0,0,0,0,1,0
376811,0,0,1,0,0,1,1,0,1,0,0,1,0
249141,0,0,0,0,0,0,0,0,0,0,1,0,0
